%X(m) Y(m)    As(ppm)  Cd(ppm)  Pb(ppm)
288	311	0.85	11.5	18.25
285.6	288	0.63	8.5	30.25
273.6	269	1.02	7	20
280.8	249	1.02	10.7	19.25
273.6	231	1.01	11.2	151.5
276	206	1.47	11.6	37.5
285.6	182	0.72	7.2	80
288	164	0.3	5.7	46
292.8	137	0.36	5.2	10
278.4	119	0.7	7.2	13
360	315	0.05	3.9	21.25
355.2	291	0.71	9.5	16.75
367.2	272	1.32	8.9	55
367.2	250	1.33	11.5	122.2
352.8	226	2.08	10.7	127.7
350.4	203	1.54	8.3	25.75
369.6	180	0.71	6.1	21.5
369.6	165	0	6.7	4
357.6	139	0.24	6.2	4.25
355.2	118	0	0	9.5
434.4	312	0.53	5.5	24
451.2	295	0.37	4	9.5
448.8	268	0.62	7	3.5
432	252	0.12	5.3	16.25
441.6	228	1.06	11.6	18
441.6	204	1.58	9	56.5
444	182	1.57	14.5	118
441.6	160	1.09	12.1	31
432	140	0	0.9	12.25
444	119	0	0	1
254.4	172	0.26	3.2	19.75
254.4	128	0	1.2	4.5
254.4	299	1E+31	1.7	14.5
333.6	301	1E+31	1.2	25.5
333.6	271	0.95	7.6	36.25
333.6	194	0.99	11.6	37.5
333.6	163	1.3	8.7	36
412.8	285	0.51	5.8	32.25
254.4	257	0.2	3.8	16.5
412.8	172	1.12	10.4	48.5
412.8	150	1.07	10	49.75
492	282	0.61	7.1	14.25
492	249	0.42	4.4	23.5
492	315	1.19	10.4	302.5
492	150	0	1.6	42.5
444	190	1.6	15	56.5
436.8	240	0.6	3.4	12.25
360	195	1.07	6.8	33.25
345.6	210	5.61	10.8	59
254.4	216	2.09	14.9	146.7
280.8	216	1.42	9.9	268
307.2	216	1.31	11.6	98
333.6	216	1.21	6.5	44
360	216	1.67	10.1	94.25
386.4	216	1.59	11.8	68
412.8	216	2.88	11	60.75
439.2	216	1.95	16.7	70
465.6	216	0.93	11.6	25
492	216	0.75	6.9	33
345.6	216	1.45	9.9	40.75
